Time,FPS 
2002,1000
2003,1000
2004,1000
2005,1000
2006,1000
2007,1000
2008,1000
2009,1000
2010,1000
2011,1000
2012,1000
2013,1000
2014,1000
2014,0
2015,1000
2016,1000
2017,1000
2017,0
2018,1000
2020,500
2021,1000
2022,1000
2023,1000
2024,1000
2025,1000
2026,1000
2027,1000
2028,1000
2029,1000
2030,1000
2031,1000
2032,1000
2033,1000
2034,1000
2035,1000
2036,1000
2037,1000
2038,1000
2039,1000
2040,1000
2041,1000
2042,1000
2043,1000
2044,1000
2045,1000
2046,1000
2047,1000
2047,0
2048,1000
2049,1000
2050,1000
2051,1000
2052,1000
2053,1000
2054,1000
2055,1000
2056,1000
2057,1000
2058,1000
2058,0
2059,1000
2060,1000
2061,1000
2062,1000
2063,1000
2063,0
2064,1000
2065,1000
2066,1000
2067,1000
2067,0
2068,1000
2070,500
2071,1000
2071,0
2072,1000
2073,1000
2074,1000
2075,1000
2076,1000
2077,1000
2078,1000
2078,0
2079,1000
2080,1000
2081,1000
2081,0
2082,1000
2083,1000
2084,1000
2085,1000
2087,500
2088,1000
2090,500
2091,1000
2093,500
2095,500
2096,1000
2097,1000
2099,500
2100,1000
2101,1000
2102,1000
2103,1000
2105,500
2107,500
2108,1000
2109,1000
2110,1000
2111,1000
2112,1000
2113,1000
2114,1000
2115,1000
2115,0
2116,1000
2117,1000
2118,1000
2119,1000
2120,1000
2121,1000
2122,1000
2123,1000
2124,1000
2125,1000
2126,1000
2127,1000
2127,0
2128,1000
2129,1000
2130,1000
2131,1000
2131,0
2132,1000
2133,1000
2134,1000
2134,0
2136,500
2137,1000
2138,1000
2139,1000
2140,1000
2141,1000
2142,1000
2143,1000
2144,1000
2145,1000
2146,1000
2146,0
2147,1000
2148,1000
2149,1000
2150,1000
2151,1000
2152,1000
2153,1000
2154,1000
2155,1000
2156,1000
2157,1000
2158,1000
2159,1000
2160,1000
2161,1000
2162,1000
2162,0
2163,1000
2165,500
2166,1000
2167,1000
2168,1000
2170,500
2172,500
2173,1000
2174,1000
2176,500
2177,1000
2178,1000
2179,1000
2180,1000
2181,1000
2181,0
2182,1000
2183,1000
2184,1000
2185,1000
2186,1000
2188,500
2188,0
2189,1000
2191,500
2192,1000
2194,500
2194,0
2195,1000
2196,1000
2197,1000
2198,1000
2198,0
2200,500
2200,0
2201,1000
2203,1000
2204,500
2204,0
2205,1000
2207,500
2208,1000
2208,0
2209,1000
2210,1000
2211,1000
2211,0
2212,1000
2213,1000
2214,1000
2214,0
2215,1000
2216,1000
2217,1000
2217,0
2218,1000
2219,1000
2220,1000
2221,1000
2222,1000
2223,1000
2224,1000
2225,1000
2226,1000
2227,1000
2228,1000
2229,1000
2230,1000
2231,1000
2232,1000
2233,1000
2234,1000
2235,1000
2236,1000
2237,1000
2238,1000
2239,1000
2240,1000
2241,1000
2242,1000
2243,1000
2244,1000
2245,1000
2245,0
2246,1000
2247,1000
2248,1000
2249,1000
2250,1000
2250,0
2251,1000
2253,500
2254,1000
2255,1000
2256,1000
2257,1000
2258,1000
2259,1000
2260,1000
2260,0
2261,1000
2262,1000
2263,1000
2263,0
2264,1000
2265,1000
2266,1000
2266,0
2267,1000
2268,1000
2269,1000
2270,1000
2271,1000
2272,1000
2272,0
2274,500
2275,1000
2276,1000
2277,1000
2278,1000
2279,1000
2280,1000
2280,0
2281,1000
2282,1000
2283,1000
2284,1000
2285,1000
2286,1000
2287,1000
2288,1000
2289,1000
2290,1000
2291,1000
2292,1000
2293,1000
2294,1000
2295,1000
2296,1000
2297,1000
2297,0
2298,1000
2299,1000
2300,1000
2301,1000
2302,1000
2303,1000
2304,1000
2305,1000
2306,1000
2306,0
2308,500
2308,0
2309,1000
2310,1000
2311,1000
2312,1000
2313,1000
2314,1000
2315,1000
2315,0
2316,1000
2317,1000
2318,1000
2319,1000
2320,1000
2321,1000
2322,1000
2323,1000
2324,1000
2325,1000
2326,1000
2327,1000
2328,1000
2329,1000
2330,1000
2331,1000
2332,1000
2333,1000
2333,0
2334,1000
2336,500
2337,1000
2337,0
2338,1000
2339,1000
2340,1000
2341,1000
2342,1000
2343,1000
2343,0
2345,1000
2346,500
2347,1000
2347,0
2349,500
2349,0
2350,1000
2351,1000
2352,1000
2353,1000
2354,1000
2355,1000
2356,1000
2357,1000
2358,1000
2359,1000
2360,1000
2361,1000
2362,1000
2362,0
2363,1000
2364,1000
2365,1000
2366,1000
2367,1000
2367,0
2368,1000
2370,500
2370,0
2371,1000
2372,1000
2374,500
2375,1000
2375,0
2376,1000
2378,500
2378,0
2379,1000
2380,1000
2381,1000
2381,0
2383,500
2383,0
2384,1000
2385,1000
2386,1000
2387,1000
2388,1000
2389,1000
2390,1000
2391,1000
2392,1000
2393,1000
2394,1000
2395,1000
2396,1000
2396,0
2397,1000
2398,1000
2399,1000
2400,1000
2401,1000
2402,1000
2403,1000
2404,1000
2405,1000
2406,1000
2407,1000
2408,1000
2409,1000
2409,0
2410,1000
2411,1000
2412,1000
2413,1000
2414,1000
2415,1000
2416,1000
2417,1000
2418,1000
2419,1000
2420,1000
2421,1000
2422,1000
2423,1000
2425,500
2426,1000
2427,1000
2428,1000
2428,0
2429,1000
2430,1000
2431,1000
2432,1000
2433,1000
2433,0
2434,1000
2435,1000
2436,1000
2437,1000
2438,1000
2439,1000
2441,500
2441,0
2442,1000
2443,1000
2444,1000
2445,1000
2446,1000
2447,1000
2448,1000
2449,1000
2450,1000
2451,1000
2453,500
2454,1000
2455,1000
2457,500
2458,1000
2459,1000
2460,1000
2461,1000
2462,1000
2463,1000
2464,1000
2464,0
2465,1000
2466,1000
2467,1000
2468,1000
2469,1000
2470,1000
2471,1000
2472,1000
2473,1000
2474,1000
2475,1000
2476,1000
2477,1000
2478,1000
2479,1000
2480,1000
2481,1000
2481,0
2482,1000
2483,1000
2484,1000
2485,1000
2487,500
2488,1000
2489,1000
2490,1000
2491,1000
2492,1000
2493,1000
2494,1000
2495,1000
2496,1000
2497,1000
2497,0
2498,1000
2499,1000
2500,1000
2501,1000
2502,1000
2503,1000
2504,1000
2505,1000
2506,1000
2507,1000
2508,1000
2509,1000
2510,1000
2511,1000
2512,1000
2513,1000
2513,0
2514,1000
2515,1000
2516,1000
2517,1000
2517,0
2518,1000
2519,1000
2520,1000
2521,1000
2522,1000
2523,1000
2524,1000
2525,1000
2526,1000
2527,1000
2528,1000
2529,1000
2530,1000
2531,1000
2531,0
2532,1000
2533,1000
2534,1000
2534,0
2535,1000
2536,1000
2537,1000
2538,1000
2539,1000
2540,1000
2541,1000
2542,1000
2543,1000
2544,1000
2545,1000
2546,1000
2547,1000
2548,1000
2549,1000
2550,1000
2551,1000
2552,1000
2553,1000
2554,1000
2555,1000
2556,1000
2557,1000
2558,1000
2559,1000
2560,1000
2561,1000
2561,0
2562,1000
2563,1000
2564,1000
2565,1000
2565,0
2566,1000
2567,1000
2568,1000
2569,1000
2571,500
2572,1000
2574,500
2575,1000
2576,1000
2578,500
2579,1000
2580,1000
2581,1000
2582,1000
2583,1000
2583,0
2584,1000
2586,500
2587,1000
2588,1000
2589,1000
2591,500
2592,1000
2593,1000
2594,1000
2595,1000
2596,1000
2597,1000
2598,1000
2598,0
2599,1000
2600,1000
2601,1000
2602,1000
2603,1000
2604,1000
2605,1000
2606,1000
2607,1000
2608,1000
2609,1000
2609,0
2610,1000
2611,1000
2612,1000
2613,1000
2613,0
2614,1000
2615,1000
2616,1000
2617,1000
2617,0
2618,1000
2619,1000
2620,1000
2621,1000
2622,1000
2623,1000
2625,500
2626,1000
2627,1000
2627,0
2628,1000
2629,1000
2630,1000
2631,1000
2631,0
2632,1000
2633,1000
2634,1000
2635,1000
2636,1000
2637,1000
2638,1000
2639,1000
2640,1000
2641,1000
